81,5,nginx-ingress-controller-5b6697898-7wjsr,230,0,0
82,5,fsm-backend-cron-prod-6bd6459455-p9p49,1094,0,0
83,5,nginx-ingress-controller-5b6697898-zqxl4,241,0,0
84,5,learnbuddy-frontend-prod-5bfc5cdd8f-bw8r4,2,0,0
85,5,fsm-frontend-prod-c97f7b8c6-88psm,204,0,0
86,5,fsm-backend-prod-579b7846b9-59t62,9,0,0
87,5,learnbuddy-frontend-stg-76c798ccf7-bqqgd,2,0,0
88,5,learnbuddy-backend-stg-75587bf7c-r7529,600,100,0
89,5,fsm-frontend-prod-c97f7b8c6-p7n7p,286,0,0
90,5,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,200,0,0
91,5,fsm-backend-cron-prod-6bd6459455-ktlpr,45553,0,0
92,5,fsm-backend-prod-579b7846b9-krvsh,1845,0,0
93,5,fsm-backend-prod-579b7846b9-stpj9,504,0,0
94,5,fsm-frontend-prod-c97f7b8c6-6wb8r,204,0,0
95,6,fsm-backend-prod-579b7846b9-stpj9,5251,0,0
96,6,cert-manager-5695c78d49-q9s9j,1356,0,0
97,6,fsm-frontend-prod-c97f7b8c6-88psm,420,0,0
98,6,learnbuddy-frontend-prod-5bfc5cdd8f-bw8r4,112,0,0
99,6,fsm-backend-cron-prod-6bd6459455-p9p49,26650,0,0
100,6,learnbuddy-backend-stg-75587bf7c-r7529,584,100,0
101,6,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,250,0,0
102,6,centralized-user-prod-78bc9f7b96-txbcl,58,0,0
103,6,fsm-backend-prod-579b7846b9-krvsh,2904,0,0
104,6,learnbuddy-backend-prod-5969b7c99c-k9bqm,857,45,8
105,6,nginx-ingress-controller-5b6697898-zqxl4,301,0,0
106,6,cert-manager-cainjector-658b6dbf77-8t625,29,0,0
107,6,fsm-frontend-prod-c97f7b8c6-6wb8r,420,0,0
108,6,learnbuddy-frontend-stg-76c798ccf7-bqqgd,2,0,0
109,6,fsm-backend-prod-579b7846b9-pf9wp,9123,0,0
110,6,nginx-ingress-controller-5b6697898-7wjsr,309,0,0
111,7,fsm-backend-prod-579b7846b9-qbxjw,696,0,0
112,7,learnbuddy-backend-prod-5969b7c99c-968bv,100,0,0
113,7,centralized-user-prod-78bc9f7b96-txbcl,116,0,0
114,7,fsm-frontend-prod-c97f7b8c6-6wb8r,586,0,0
115,7,fsm-backend-prod-579b7846b9-krvsh,10014,0,0
116,7,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,262,0,0
117,7,learnbuddy-backend-prod-5969b7c99c-k89b7,100,0,0
118,7,learnbuddy-backend-prod-5969b7c99c-k9bqm,6108,144,10
119,7,fsm-frontend-prod-c97f7b8c6-88psm,584,0,0
120,7,learnbuddy-backend-stg-75587bf7c-r7529,600,100,0
121,7,fsm-backend-prod-579b7846b9-pf9wp,9487,0,0
122,7,learnbuddy-backend-prod-5969b7c99c-wkg85,401,12,2
123,7,learnbuddy-backend-prod-5969b7c99c-vfqts,338,4,2
124,7,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,2,0,0
125,7,cert-manager-cainjector-658b6dbf77-8t625,44,0,0
126,7,nginx-ingress-controller-5b6697898-7wjsr,665,0,0
127,7,fsm-backend-cron-prod-6bd6459455-p9p49,1141,0,0
128,7,fsm-backend-prod-579b7846b9-stpj9,3318,0,0
129,7,cert-manager-5695c78d49-q9s9j,1364,0,0
130,7,nginx-ingress-controller-5b6697898-zqxl4,704,0,0
131,7,learnbuddy-backend-prod-5969b7c99c-gcqbg,176,3,2
132,7,learnbuddy-frontend-prod-5bfc5cdd8f-bw8r4,86,0,0
133,8,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,18,0,0
134,8,fsm-backend-prod-579b7846b9-krvsh,7998,0,0
135,8,fsm-frontend-prod-c97f7b8c6-6wb8r,892,0,0
136,8,learnbuddy-backend-stg-75587bf7c-r7529,596,100,0
137,8,fsm-backend-cron-prod-6bd6459455-p9p49,1138,0,0
138,8,cert-manager-cainjector-658b6dbf77-8t625,11,0,0
139,8,nginx-ingress-controller-5b6697898-zqxl4,870,0,0
140,8,cert-manager-5695c78d49-q9s9j,1356,0,0
141,8,learnbuddy-backend-prod-5969b7c99c-k9bqm,150,3,0
142,8,fsm-backend-prod-579b7846b9-qbxjw,6152,0,0
143,8,nginx-ingress-controller-5b6697898-7wjsr,989,0,0
144,8,fsm-backend-prod-579b7846b9-stpj9,9035,0,0
145,8,fsm-frontend-prod-c97f7b8c6-88psm,893,0,1
146,8,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,322,0,0
147,9,fsm-backend-prod-579b7846b9-qbxjw,9612,0,0
148,9,nginx-ingress-controller-5b6697898-7wjsr,1670,0,0
149,9,fsm-backend-prod-579b7846b9-stpj9,16243,0,0
150,9,cert-manager-5695c78d49-q9s9j,1360,0,0
151,9,learnbuddy-backend-prod-5969b7c99c-k9bqm,3662,341,18
152,9,learnbuddy-frontend-prod-5bfc5cdd8f-wmfbn,242,0,0
153,9,nginx-ingress-controller-5b6697898-zqxl4,1651,0,0
154,9,learnbuddy-backend-stg-75587bf7c-r7529,592,100,0
